XCoord,YCoord,NAME,STATIONID
118.63439200,32.06404500,江浦客运站南,2715
118.63652800,32.06373200,环宇家园北,3034
118.63896900,32.06745900,阅景龙华,2716
118.63191200,32.06425900,江浦客运站西,3651
118.63356100,32.06527700,江浦客运站,1442
118.63439200,32.06404500,江浦客运站南,2715
118.63860300,32.06706200,阅景龙华,2716
118.63883200,32.06735200,阅景龙华,2716
118.63430800,32.06578100,江浦客运站,1442
118.63148500,32.06167200,文德东路·同心路,1443
118.63440700,32.06406400,江浦客运站南,2715
118.63866400,32.06710400,阅景龙华,2716
118.63413100,32.06563700,江浦客运站,1442
118.63440700,32.06406800,江浦客运站南,2715
118.63867200,32.06710800,阅景龙华,2716
118.63887800,32.06738700,阅景龙华,2716
118.63652800,32.06373200,环宇家园北,3034
118.63897700,32.06746300,阅景龙华,2716
118.63449100,32.06412500,江浦客运站南,2715
118.63154600,32.06172200,文德东路·同心路,1443
118.63444500,32.06409500,江浦客运站南,2715
118.63397200,32.06697100,江浦客运站东,2895
118.63445300,32.06409800,江浦客运站南,2715
118.63405600,32.06379300,江浦客运站南,2715
118.63423700,32.06580900,江浦客运站,1442
118.63395700,32.06693300,江浦客运站东,2895
118.63650500,32.06374400,环宇家园北,3034
118.63338500,32.06552100,江浦客运站,1442
118.63198900,32.06428500,江浦客运站西,3651
118.63896900,32.06745900,阅景龙华,2716
118.63192700,32.06426600,江浦客运站西,3651
118.63414000,32.06571100,江浦客运站,1442
118.63143900,32.06163800,文德东路·同心路,1443
118.63427700,32.06561300,江浦客运站,1442
118.63149300,32.06168000,文德东路·同心路,1443
118.63410700,32.06579800,江浦客运站,1442
